LINC01128	chr1	825138	868202
SAMD11	chr1	923928	944581
NOC2L	chr1	944203	959309
HES4	chr1	998962	1000172
ISG15	chr1	1001138	1014540
AGRN	chr1	1020120	1056118
C1orf159	chr1	1081818	1116361
TNFRSF18	chr1	1203508	1206592
TNFRSF4	chr1	1211340	1214153
SDF4	chr1	1216908	1232067
B3GALT6	chr1	1232237	1235041
UBE2J2	chr1	1253909	1273885
SCNN1D	chr1	1280436	1292029
ACAP3	chr1	1292390	1309609
PUSL1	chr1	1308597	1311677
CPTP	chr1	1324756	1328896
DVL1	chr1	1335276	1349418
MXRA8	chr1	1352689	1361777
AURKAIP1	chr1	1373730	1375495
CCNL2	chr1	1385711	1399335
MRPL20	chr1	1401909	1407293
ANKRD65	chr1	1418420	1421769
VWA1	chr1	1434861	1442882
ATAD3C	chr1	1449689	1470158
ATAD3B	chr1	1471769	1497848
ATAD3A	chr1	1512151	1534687
SSU72	chr1	1541673	1574863
MIB2	chr1	1615415	1630610
SLC35E2B	chr1	1659529	1692728
NADK	chr1	1751232	1780457
GNB1	chr1	1785285	1891117
PRKCZ	chr1	2050411	2185395
FAAP20	chr1	2184461	2212720
SKI	chr1	2228319	2310213
MORN1	chr1	2321253	2391707
RER1	chr1	2391775	2405442
PEX10	chr1	2403964	2413797
PANK4	chr1	2508531	2526628
TNFRSF14	chr1	2555639	2565382
MMEL1	chr1	2590639	2633016
PRDM16	chr1	3069168	3438621
ARHGEF16	chr1	3454665	3481113
MEGF6	chr1	3487951	3611508
TPRG1L	chr1	3625015	3630127
WRAP73	chr1	3630767	3652761
TP73	chr1	3652516	3736201
TP73-AS1	chr1	3735511	3747373
SMIM1	chr1	3772761	3775982
LRRC47	chr1	3778559	3796498
CEP104	chr1	3812086	3857214
DFFB	chr1	3857267	3885429
C1orf174	chr1	3889125	3900293
NPHP4	chr1	5862811	5992473
KCNAB2	chr1	5990927	6101193
RPL22	chr1	6185020	6209389
RNF207	chr1	6205475	6221299
ICMT	chr1	6221193	6235972
GPR153	chr1	6247353	6261098
ACOT7	chr1	6264269	6394391
HES2	chr1	6412418	6424670
ESPN	chr1	6424776	6461367
TNFRSF25	chr1	6460786	6466195
PLEKHG5	chr1	6466092	6520061
NOL9	chr1	6521347	6554513
ZBTB48	chr1	6579994	6589280
KLHL21	chr1	6590724	6614607
PHF13	chr1	6613731	6624030
THAP3	chr1	6624866	6635586
DNAJC11	chr1	6634168	6701924
CAMTA1	chr1	6785454	7769706
VAMP3	chr1	7771296	7781432
PER3	chr1	7784320	7845177
TNFRSF9	chr1	7915894	7943165
PARK7	chr1	7954291	7985505
ERRFI1	chr1	8004404	8026309
RERE	chr1	8352397	8848921
ENO1	chr1	8861000	8879190
SLC2A5	chr1	9035107	9088478
H6PD	chr1	9234775	9271337
SPSB1	chr1	9292894	9369532
SLC25A33	chr1	9539465	9585173
TMEM201	chr1	9588911	9614877
PIK3CD	chr1	9651732	9729114
PIK3CD-AS2	chr1	9672426	9687555
CLSTN1	chr1	9729026	9824526
CTNNBIP1	chr1	9848276	9910336
LZIC	chr1	9922113	9943407
NMNAT1	chr1	9943428	9985501
RBP7	chr1	9997206	10016021
UBE4B	chr1	10032832	10181239
KIF1B	chr1	10210805	10381603
PGD	chr1	10398592	10420511
DFFA	chr1	10456522	10472529
PEX14	chr1	10472288	10630758
CASZ1	chr1	10636604	10796650
TARDBP	chr1	11012344	11026420
SRM	chr1	11054584	11060020
EXOSC10	chr1	11066618	11099869
MTOR	chr1	11106535	11262507
UBIAD1	chr1	11273206	11296049
FBXO2	chr1	11637018	11655785
FBXO44	chr1	11654375	11663327
FBXO6	chr1	11664200	11674354
MAD2L2	chr1	11674480	11691650
AGTRAP	chr1	11736084	11754802
